nativity,family,genus,species,species_author,infraspecific_rank,infraspecific_epithet,infraspecific_author,name_minus_authors,name_plus_authors,synonyms,common,TJM1/TJM2,major_clade,endemicity,
NATIVE,Isoetaceae,Isoetes,bolanderi,Engelm.,,,,Isoetes bolanderi,Isoetes bolanderi Engelm.,Isoetes bolanderi Engelm. var. bolanderi; Isoetes bolanderi var. pygmaea (Engelm.) Clute,NULL,TJM1,LYCOPHYTES,,
NATIVE,Isoetaceae,Isoetes,echinospora,Durieu,,,,Isoetes echinospora,Isoetes echinospora Durieu,Isoetes braunii Durieu; Isoetes muricata Durieu,NULL,TJM1,LYCOPHYTES,,
NATIVE,Isoetaceae,Isoetes,howellii,Engelm.,,,,Isoetes howellii,Isoetes howellii Engelm.,,NULL,TJM1,LYCOPHYTES,,
NATIVE,Isoetaceae,Isoetes,nuttallii,A. Braun ex Engelm.,,,,Isoetes nuttallii,Isoetes nuttallii A. Braun ex Engelm.,,NULL,TJM1,LYCOPHYTES,,
NATIVE,Isoetaceae,Isoetes,occidentalis,L.F. Hend.,,,,Isoetes occidentalis,Isoetes occidentalis L.F. Hend.,Isoetes lacustris var. paupercula Engelm.,NULL,TJM1,LYCOPHYTES,,
NATIVE,Isoetaceae,Isoetes,orcuttii,A.A. Eaton,,,,Isoetes orcuttii,Isoetes orcuttii A.A. Eaton,,NULL,TJM1,LYCOPHYTES,,
NATIVE,Lycopodiaceae,Lycopodiella,inundata,(L.) Holub,,,,Lycopodiella inundata,Lycopodiella inundata (L.) Holub,Lycopodium inundatum L.,INUNDATED BOG CLUB-MOSS,TJM1,LYCOPHYTES,,
NATIVE,Lycopodiaceae,Lycopodium,clavatum,L.,,,,Lycopodium clavatum,Lycopodium clavatum L.,,RUNNING-PINE,TJM1,LYCOPHYTES,,
NATIVE,Selaginellaceae,Selaginella,asprella,Maxon,,,,Selaginella asprella,Selaginella asprella Maxon,,BLUISH SPIKE-MOSS,TJM1,LYCOPHYTES,,
NATIVE,Selaginellaceae,Selaginella,bigelovii,Underw.,,,,Selaginella bigelovii,Selaginella bigelovii Underw.,,NULL,TJM1,LYCOPHYTES,,
NATIVE,Selaginellaceae,Selaginella,cinerascens,A.A. Eaton,,,,Selaginella cinerascens,Selaginella cinerascens A.A. Eaton,,ASHY SPIKE-MOSS,TJM1,LYCOPHYTES,,
NATIVE,Selaginellaceae,Selaginella,eremophila,Maxon,,,,Selaginella eremophila,Selaginella eremophila Maxon,,DESERT SPIKE-MOSS,TJM1,LYCOPHYTES,,
NATIVE,Selaginellaceae,Selaginella,hansenii,Hieron.,,,,Selaginella hansenii,Selaginella hansenii Hieron.,,NULL,TJM1,LYCOPHYTES,1,
NATURALIZED,Selaginellaceae,Selaginella,kraussiana,(Kunze) A. Braun,,,,Selaginella kraussiana,Selaginella kraussiana (Kunze) A. Braun,,NULL,TJM2,LYCOPHYTES,,
NATIVE,Selaginellaceae,Selaginella,leucobryoides,Maxon,,,,Selaginella leucobryoides,Selaginella leucobryoides Maxon,,MOJAVE SPIKE-MOSS,TJM1,LYCOPHYTES,,
NATIVE,Selaginellaceae,Selaginella,oregana,D.C. Eaton,,,,Selaginella oregana,Selaginella oregana D.C. Eaton,,NULL,TJM1,LYCOPHYTES,,
NATIVE,Selaginellaceae,Selaginella,scopulorum,Maxon,,,,Selaginella scopulorum,Selaginella scopulorum Maxon,Selaginella densa Rydb. var. scopulorum (Maxon) R.M. Tryon,ROCKY MOUNTAIN SPIKE-MOSS,TJM2,LYCOPHYTES,,
NATIVE,Selaginellaceae,Selaginella,wallacei,Hieron.,,,,Selaginella wallacei,Selaginella wallacei Hieron.,,NULL,TJM1,LYCOPHYTES,,
NATIVE,Selaginellaceae,Selaginella,watsonii,Underw.,,,,Selaginella watsonii,Selaginella watsonii Underw.,,NULL,TJM1,LYCOPHYTES,,
NATIVE,Aspleniaceae,Asplenium,septentrionale,(L.) Hoffm.,,,,Asplenium septentrionale,Asplenium septentrionale (L.) Hoffm.,,NORTHERN SPLEENWORT,TJM1,FERNS,,
NATIVE,Aspleniaceae,Asplenium,trichomanes,L.,subsp.,,,Asplenium trichomanes subsp. trichomanes,Asplenium trichomanes L. subsp. trichomanes,,MAIDENHAIR SPLEENWORT,TJM1,FERNS,,
NATIVE,Aspleniaceae,Asplenium,vespertinum,Maxon,,,,Asplenium vespertinum,Asplenium vespertinum Maxon,,WESTERN SPLEENWORT,TJM1,FERNS,,
NATIVE,Aspleniaceae,Asplenium,viride,Huds.,,,,Asplenium viride,Asplenium viride Huds.,"Asplenium trichomanes-ramosum L., nom. rej.",GREEN SPLEENWORT,TJM2,FERNS,,
NATIVE,Athyriaceae,Athyrium,distentifolium,,var.,(Butters) Cronquist,(Butters) Cronquist,Athyrium distentifolium var. americanum,Athyrium distentifolium Opiz var. americanum (Butters) Cronquist,Athyrium alpestre Milde var. americanum Butters illeg.,NULL,TJM2,FERNS,,
NATIVE,Athyriaceae,Athyrium,filix-femina,,var.,Rupr.,Rupr.,Athyrium filix-femina var. cyclosorum,Athyrium filix-femina (L.) Roth var. cyclosorum Rupr.,Athyrium filix-femina var. californicum Butters; Athyrium filix-femina var. sitchense Rupr.,NULL,TJM1,FERNS,,
NATIVE,Azollaceae,Azolla,filiculoides,Lam.,,,,Azolla filiculoides,Azolla filiculoides Lam.,,NULL,TJM1,FERNS,,
NATIVE,Azollaceae,Azolla,microphylla,Kaulf.,,,,Azolla microphylla,Azolla microphylla Kaulf.,Azolla mexicana C. Presl,MEXICAN MOSQUITO FERN,TJM2,FERNS,,
NATIVE,Blechnaceae,Struthiopteris,spicant,(L.) Weiss,,,,Struthiopteris spicant,Struthiopteris spicant (L.) Weiss,Blechnum spicant (L.) Roth,DEER FERN,TJM2,FERNS,,
NATIVE,Blechnaceae,Woodwardia,fimbriata,Sm.,,,,Woodwardia fimbriata,Woodwardia fimbriata Sm.,"Woodwardia chamissoi Brack.; Woodwardia radicans (L.) Sm., misappl.",GIANT CHAIN FERN,TJM1,FERNS,,
NATURALIZED,Cyatheaceae,Sphaeropteris,cooperi,(Hook. ex. F. Muell.) R.M. Tryon,,,,Sphaeropteris cooperi,Sphaeropteris cooperi (Hook. ex. F. Muell.) R.M. Tryon,Cyathea cooperi (Hook. ex F. Muell.) Domin,COOPERS TREE FERN,TJM2,FERNS,,
NATIVE,Cystopteridaceae,Cystopteris,fragilis,(L.) Bernh.,,,,Cystopteris fragilis,Cystopteris fragilis (L.) Bernh.,,NULL,TJM1,FERNS,,
NATIVE,Dennstaedtiaceae,Pteridium,aquilinum,,var.,Underw.,Underw.,Pteridium aquilinum var. pubescens,Pteridium aquilinum (L.) Kuhn var. pubescens Underw.,,NULL,TJM1,FERNS,,
NATURALIZED,Dryopteridaceae,Cyrtomium,falcatum,(L. f.) C. Presl,,,,Cyrtomium falcatum,Cyrtomium falcatum (L. f.) C. Presl,,NULL,TJM1,FERNS,,
NATIVE,Dryopteridaceae,Dryopteris,arguta,(Kaulf.) Watt,,,,Dryopteris arguta,Dryopteris arguta (Kaulf.) Watt,,NULL,TJM1,FERNS,,
NATIVE,Dryopteridaceae,Dryopteris,expansa,(C. Presl) Fraser-Jenk. & Jermy,,,,Dryopteris expansa,Dryopteris expansa (C. Presl) Fraser-Jenk. & Jermy,Dryopteris assimilis S. Walker,NULL,TJM1,FERNS,,
NATIVE,Dryopteridaceae,Dryopteris,filix,(L.) Schott,,,,Dryopteris filix-mas,Dryopteris filix-mas (L.) Schott,,MALE FERN,TJM1,FERNS,,
NATIVE,Dryopteridaceae,Polystichum,californicum,(D.C. Eaton) Diels,,,,Polystichum californicum,Polystichum californicum (D.C. Eaton) Diels,,NULL,TJM1,FERNS,,
NATIVE,Dryopteridaceae,Polystichum,dudleyi,Maxon,,,,Polystichum dudleyi,Polystichum dudleyi Maxon,,NULL,TJM1,FERNS,1,
NATIVE,Dryopteridaceae,Polystichum,imbricans,,subsp.,(Ewan) D.H. Wagner,(Ewan) D.H. Wagner,Polystichum imbricans subsp. curtum,Polystichum imbricans (D.C. Eaton) D.H. Wagner subsp. curtum (Ewan) D.H. Wagner,,NULL,TJM1,FERNS,1,
NATIVE,Dryopteridaceae,Polystichum,imbricans,(D.C. Eaton) D.H. Wagner,subsp.,,,Polystichum imbricans subsp. imbricans,Polystichum imbricans (D.C. Eaton) D.H. Wagner subsp. imbricans,Polystichum munitum (Kaulf.) C. Presl subsp. imbricans (D.C. Eaton) Munz; Polystichum munitum subsp. nudatum Ewan,NULL,TJM1,FERNS,,
NATIVE,Dryopteridaceae,Polystichum,kruckebergii,W.H. Wagner,,,,Polystichum kruckebergii,Polystichum kruckebergii W.H. Wagner,,KRUCKEBERGS SWORD FERN,TJM1,FERNS,,
NATIVE,Dryopteridaceae,Polystichum,lemmonii,Underw.,,,,Polystichum lemmonii,Polystichum lemmonii Underw.,,NULL,TJM1,FERNS,,
NATIVE,Dryopteridaceae,Polystichum,lonchitis,(L.) Roth,,,,Polystichum lonchitis,Polystichum lonchitis (L.) Roth,,HOLLY FERN,TJM1,FERNS,,
NATIVE,Dryopteridaceae,Polystichum,munitum,(Kaulf.) C. Presl,,,,Polystichum munitum,Polystichum munitum (Kaulf.) C. Presl,,WESTERN SWORD FERN,TJM1,FERNS,,
NATIVE,Dryopteridaceae,Polystichum,scopulinum,(D.C. Eaton) Maxon,,,,Polystichum scopulinum,Polystichum scopulinum (D.C. Eaton) Maxon,,NULL,TJM1,FERNS,,
NATIVE,Equisetaceae,Equisetum,arvense,L.,,,,Equisetum arvense,Equisetum arvense L.,,COMMON HORSETAIL,TJM1,FERNS,,
NATIVE,Equisetaceae,,,Clute,,,,Equisetum _ferrissii,Equisetum _ferrissii Clute,,FERRISS HORSETAIL,TJM2,FERNS,,
NATIVE,Equisetaceae,Equisetum,hyemale,,subsp.,(Engelm.) Calder & Roy L. Taylor,(Engelm.) Calder & Roy L. Taylor,Equisetum hyemale subsp. affine,Equisetum hyemale L. subsp. affine (Engelm.) Calder & Roy L. Taylor,Equisetum hyemale var. californicum Milde; Equisetum hyemale var. robustum (A. Braun) A.A. Eaton,COMMON SCOURING RUSH,TJM1,FERNS,,
NATIVE,Equisetaceae,Equisetum,laevigatum,A. Braun,,,,Equisetum laevigatum,Equisetum laevigatum A. Braun,Equisetum fontinale Copel.; Equisetum funstonii A.A. Eaton; Equisetum kansanum J.H. Schaffn.,SMOOTH SCOURING RUSH,TJM1,FERNS,,
NATIVE,Equisetaceae,Equisetum,palustre,L.,,,,Equisetum palustre,Equisetum palustre L.,,MARSH HORSETAIL,TJM1,FERNS,,
NATIVE,Equisetaceae,Equisetum,telmateia,,subsp.,(J. Milde) Hauke,(J. Milde) Hauke,Equisetum telmateia subsp. braunii,Equisetum telmateia Ehrh. subsp. braunii (J. Milde) Hauke,,GIANT HORSETAIL,TJM1,FERNS,,
NATIVE,Marsileaceae,Marsilea,oligospora,Goodd.,,,,Marsilea oligospora,Marsilea oligospora Goodd.,Marsilea vestita var. oligospora (Goodd.) Dorn,NULL,TJM1,FERNS,,
NATIVE,Marsileaceae,Marsilea,vestita,Hook. & Grev.,subsp.,,,Marsilea vestita subsp. vestita,Marsilea vestita Hook. & Grev. subsp. vestita,,NULL,TJM1,FERNS,,
NATIVE,Marsileaceae,Pilularia,americana,A. Braun,,,,Pilularia americana,Pilularia americana A. Braun,,NULL,TJM1,FERNS,,
NATIVE,Ophioglossaceae,Botrychium,ascendens,W.H. Wagner,,,,Botrychium ascendens,Botrychium ascendens W.H. Wagner,,UPSWEPT MOONWORT,TJM1,FERNS,,
NATIVE,Ophioglossaceae,Botrychium,campestre,,var.,(W.H. Wagner) Farrar,(W.H. Wagner) Farrar,Botrychium campestre var. lineare,Botrychium campestre W.H. Wagner var. lineare (W.H. Wagner) Farrar,Botrychium lineare W.H. Wagner,SLENDER MOONWORT,TJM2,FERNS,,
NATIVE,Ophioglossaceae,Botrychium,crenulatum,W.H. Wagner,,,,Botrychium crenulatum,Botrychium crenulatum W.H. Wagner,,SCALLOPED MOONWORT,TJM1,FERNS,,
NATIVE,Ophioglossaceae,Botrychium,hesperium,(Maxon & R.T. Clausen) W.H. Wagner & Lellinger,,,,Botrychium hesperium,Botrychium hesperium (Maxon & R.T. Clausen) W.H. Wagner & Lellinger,,WESTERN MOONWORT,TJM2,FERNS,,
NATIVE,Ophioglossaceae,Botrychium,minganense,Vict.,,,,Botrychium minganense,Botrychium minganense Vict.,,MINGAN MOONWORT,TJM1,FERNS,,
NATIVE,Ophioglossaceae,Botrychium,montanum,W.H. Wagner,,,,Botrychium montanum,Botrychium montanum W.H. Wagner,,WESTERN GOBLIN MOONWORT,TJM1,FERNS,,
NATIVE,Ophioglossaceae,Botrychium,neolunaria,Stensvold & Farrar,,,,Botrychium neolunaria,Botrychium neolunaria Stensvold & Farrar,"Botrychium lunaria (L.) Sw., misappl.",COMMON AMERICAN MOONWORT,TJM2,FERNS,,
NATIVE,Ophioglossaceae,Botrychium,paradoxum,W.H. Wagner,,,,Botrychium paradoxum,Botrychium paradoxum W.H. Wagner,,PARADOX MOONWORT,TJM2,FERNS,,
NATIVE,Ophioglossaceae,Botrychium,pedunculosum,W.H. Wagner,,,,Botrychium pedunculosum,Botrychium pedunculosum W.H. Wagner,,STALKED MOONWORT,TJM2,FERNS,,
NATIVE,Ophioglossaceae,Botrychium,pinnatum,H. St. John,,,,Botrychium pinnatum,Botrychium pinnatum H. St. John,,NORTHWESTERN MOONWORT,TJM1,FERNS,,
NATIVE,Ophioglossaceae,Botrychium,pumicola,Coville ex Underw.,,,,Botrychium pumicola,Botrychium pumicola Coville ex Underw.,,PUMICE MOONWORT,TJM2,FERNS,,
NATIVE,Ophioglossaceae,Botrychium,rubellum,Farrar & Stensvold,,,,Botrychium rubellum,Botrychium rubellum Farrar & Stensvold,,RED LANCEOLATE MOONWORT,TJM2,FERNS,,
NATIVE,Ophioglossaceae,Botrychium,simplex,E. Hitchc.,,,,Botrychium simplex,Botrychium simplex E. Hitchc.,"Botrychium simplex var. compositum (Lasch) Milde, misappl.","LEAST MOONWORT, YOSEMITE MOONWORT",TJM1,FERNS,,
NATIVE,Ophioglossaceae,Botrychium,tunux,Stensvold & Farrar,,,,Botrychium tunux,Botrychium tunux Stensvold & Farrar,,MOOSEWORT,TJM2,FERNS,,
NATIVE,Ophioglossaceae,Botrychium,yaaxudakeit,Stensvold & Farrar,,,,Botrychium yaaxudakeit,Botrychium yaaxudakeit Stensvold & Farrar,,GIANT MOONWORT,TJM2,FERNS,,
NATIVE,Ophioglossaceae,Botrypus,virginianus,(L.) Michx.,,,,Botrypus virginianus,Botrypus virginianus (L.) Michx.,Botrychium virginianum (L.) Sw.,NULL,TJM2,FERNS,,
NATIVE,Ophioglossaceae,Ophioglossum,californicum,Prantl,,,,Ophioglossum californicum,Ophioglossum californicum Prantl,Ophioglossum lusitanicum L. subsp. californicum (Prantl) R.T. Clausen,CALIFORNIA ADDERS-TONGUE,TJM1,FERNS,,
NATIVE,Ophioglossaceae,Ophioglossum,pusillum,Raf.,,,,Ophioglossum pusillum,Ophioglossum pusillum Raf.,Ophioglossum vulgatum L. var. pseudopodum (S.F. Blake) Farw.,NORTHERN ADDERS-TONGUE,TJM1,FERNS,,
NATIVE,Ophioglossaceae,Sceptridium,multifidum,(S.G. Gmel.) M. Nishida ex Tagawa,,,,Sceptridium multifidum,Sceptridium multifidum (S.G. Gmel.) M. Nishida ex Tagawa,Botrychium multifidum (S.G. Gmel.) Rupr.; Botrychium multifidum subsp. californicum (Underw.) R.T. Clausen; Botrychium multifidum subsp. coulteri (Underw.) R.T. Clausen; Botrychium multifidum subsp. silaifolium (C. Presl) R.T. Clausen; Botrychium californicum Underw.; Botrychium coulteri Underw.; Botrychium silaifolium C. Presl,LEATHER GRAPE-FERN,TJM2,FERNS,,
NATIVE,Polypodiaceae,Polypodium,californicum,Kaulf.,,,,Polypodium californicum,Polypodium californicum Kaulf.,,CALIFORNIA POLYPODY,TJM1,FERNS,,
NATIVE,Polypodiaceae,Polypodium,calirhiza,S.A. Whitmore & A.R. Sm.,,,,Polypodium calirhiza,Polypodium calirhiza S.A. Whitmore & A.R. Sm.,,NULL,TJM1,FERNS,,
NATIVE,Polypodiaceae,Polypodium,glycyrrhiza,D.C. Eaton,,,,Polypodium glycyrrhiza,Polypodium glycyrrhiza D.C. Eaton,,LICORICE FERN,TJM1,FERNS,,
NATIVE,Polypodiaceae,Polypodium,hesperium,Maxon,,,,Polypodium hesperium,Polypodium hesperium Maxon,Polypodium vulgare L. var. columbianum Gilbert,WESTERN POLYPODY,TJM1,FERNS,,
NATIVE,Polypodiaceae,Polypodium,scouleri,Hook. & Grev.,,,,Polypodium scouleri,Polypodium scouleri Hook. & Grev.,,LEATHER-LEAF FERN,TJM1,FERNS,,
NATIVE,Pteridaceae,Adiantum,aleuticum,(Rupr.) C.A. Paris,,,,Adiantum aleuticum,Adiantum aleuticum (Rupr.) C.A. Paris,Adiantum pedatum L. subsp. calderi Cody; Adiantum pedatum var. subpumilum W.H. Wagner; Adiantum boreale C. Presl nom. nud.; Adiantum pedatum var. aleuticum Rupr.,FIVE-FINGER FERN,TJM1,FERNS,,
NATIVE,Pteridaceae,Adiantum,capillus,L.,,,,Adiantum capillus-veneris,Adiantum capillus-veneris L.,,SOUTHERN MAIDENHAIR,TJM1,FERNS,,
NATIVE,Pteridaceae,Adiantum,jordanii,Müll. Hal.,,,,Adiantum jordanii,Adiantum jordanii Müll. Hal.,,CALIFORNIA MAIDENHAIR,TJM1,FERNS,,
NATIVE,Pteridaceae,Adiantum,shastense,Huiet & A.R. Sm.,,,,Adiantum shastense,Adiantum shastense Huiet & A.R. Sm.,,SHASTA MAIDENHAIR,TJM2,FERNS,1,
NATIVE,Pteridaceae,Argyrochosma,jonesii,(Maxon) Windham,,,,Argyrochosma jonesii,Argyrochosma jonesii (Maxon) Windham,Cheilanthes jonesii (Maxon) Munz; Notholaena jonesii Maxon,JONES FALSE CLOAK-FERN,TJM1,FERNS,,
NATIVE,Pteridaceae,Argyrochosma,limitanea,(Maxon) Windham,subsp.,,,Argyrochosma limitanea subsp. limitanea,Argyrochosma limitanea (Maxon) Windham subsp. limitanea,"Cheilanthes limitanea (Maxon) Mickel var. limitanea; Notholaena limitanea Maxon; Argyrochosma limitanea var. limitanea, ined.",SOUTHWESTERN FALSE CLOAK-FERN,TJM2,FERNS,,
NATIVE,Pteridaceae,Aspidotis,californica,(Hook.) Nutt. ex Copel.,,,,Aspidotis californica,Aspidotis californica (Hook.) Nutt. ex Copel.,,CALIFORNIA LACE FERN,TJM1,FERNS,,
NATIVE,Pteridaceae,Aspidotis,carlotta,(W.H. Wagner & E.F. Gilbert) Lellinger,,,,Aspidotis carlotta-halliae,Aspidotis carlotta-halliae (W.H. Wagner & E.F. Gilbert) Lellinger,Cheilanthes carlotta-halliae W.H. Wagner & E.F. Gilbert,CARLOTTA HALLS LACE FERN,TJM1,FERNS,1,
NATIVE,Pteridaceae,Aspidotis,densa,(Brack.) Lellinger,,,,Aspidotis densa,Aspidotis densa (Brack.) Lellinger,Onychium densum Brack.,DENSE LACE FERN,TJM1,FERNS,,
NATIVE,Pteridaceae,Astrolepis,cochisensis,(Goodd.) D.M. Benham & Windham,,,,Astrolepis cochisensis,Astrolepis cochisensis (Goodd.) D.M. Benham & Windham,Cheilanthes cochisensis (Goodd.) Mickel; Cheilanthes sinuata (Sw.) Domin var. cochisensis (Goodd.) Munz,SCALY CLOAK-FERN,TJM1,FERNS,,
NATIVE,Pteridaceae,Cryptogramma,acrostichoides,R. Br.,,,,Cryptogramma acrostichoides,Cryptogramma acrostichoides R. Br.,,AMERICAN PARSLEY FERN,TJM1,FERNS,,
NATIVE,Pteridaceae,Cryptogramma,cascadensis,E.R. Alverson,,,,Cryptogramma cascadensis,Cryptogramma cascadensis E.R. Alverson,,CASCADE PARSLEY FERN,TJM1,FERNS,,
NATIVE,Pteridaceae,Myriopteris,clevelandii,(D. C. Eaton) Grusz & Windham,,,,Myriopteris clevelandii,Myriopteris clevelandii (D. C. Eaton) Grusz & Windham,Cheilanthes clevelandii D. C. Eaton,CLEVELANDS LIP FERN,TJM2,FERNS,,
NATIVE,Pteridaceae,Myriopteris,cooperae,(D. C. Eaton) Grusz & Windham,,,,Myriopteris cooperae,Myriopteris cooperae (D. C. Eaton) Grusz & Windham,Cheilanthes cooperae D. C. Eaton,COOPERS LIP FERN,TJM2,FERNS,1,
NATIVE,Pteridaceae,Myriopteris,covillei,(Maxon) Á. Löve & D. Löve,,,,Myriopteris covillei,Myriopteris covillei (Maxon) Á. Löve & D. Löve,Cheilanthes covillei Maxon,COVILLES LIP FERN,TJM2,FERNS,,
NATIVE,Pteridaceae,Myriopteris,gracilis,Fée,,,,Myriopteris gracilis,Myriopteris gracilis Fée,Cheilanthes feei T. Moore,SLENDER LIP FERN,TJM2,FERNS,,
NATIVE,Pteridaceae,Myriopteris,gracillima,(D. C. Eaton) J. Sm.,,,,Myriopteris gracillima,Myriopteris gracillima (D. C. Eaton) J. Sm.,Cheilanthes gracillima D. C. Eaton,LACE LIP FERN,TJM2,FERNS,,
NATIVE,Pteridaceae,Myriopteris,intertexta,(Maxon) Grusz & Windham,,,,Myriopteris intertexta,Myriopteris intertexta (Maxon) Grusz & Windham,Cheilanthes intertexta (Maxon) Maxon,COASTAL LIP FERN,TJM2,FERNS,,
NATIVE,Pteridaceae,Myriopteris,newberryi,(D. C. Eaton) Grusz & Windham,,,,Myriopteris newberryi,Myriopteris newberryi (D. C. Eaton) Grusz & Windham,Cheilanthes newberryi (D. C. Eaton) Domin,NEWBERRYS LIP FERN,TJM2,FERNS,,
NATIVE,Pteridaceae,Myriopteris,parryi,(D. C. Eaton) Grusz & Windham,,,,Myriopteris parryi,Myriopteris parryi (D. C. Eaton) Grusz & Windham,Cheilanthes parryi (D. C. Eaton) Domin,PARRYS LIP FERN,TJM2,FERNS,,
NATIVE,Pteridaceae,Myriopteris,viscida,(Davenp.) Grusz & Windham,,,,Myriopteris viscida,Myriopteris viscida (Davenp.) Grusz & Windham,Cheilanthes viscida Davenp.,VISCID LACE FERN,TJM2,FERNS,,
NATIVE,Pteridaceae,Myriopteris,wootonii,(Maxon) Grusz & Windham,,,,Myriopteris wootonii,Myriopteris wootonii (Maxon) Grusz & Windham,Cheilanthes wootonii Maxon,WOOTONS LIP FERN,TJM2,FERNS,,
NATIVE,Pteridaceae,Notholaena,californica,D.C. Eaton,,,,Notholaena californica,Notholaena californica D.C. Eaton,Notholaena candida (M. Martens & Galeotti) Hook. var. accessita Jeps.,CALIFORNIA CLOAK-FERN,TJM1,FERNS,,
NATIVE,Pteridaceae,Pellaea,andromedifolia,(Kaulf.) Fée,,,,Pellaea andromedifolia,Pellaea andromedifolia (Kaulf.) Fée,,COFFEE FERN,TJM1,FERNS,,
NATIVE,Pteridaceae,Pellaea,brachyptera,(T. Moore) Baker,,,,Pellaea brachyptera,Pellaea brachyptera (T. Moore) Baker,,SIERRA CLIFF-BRAKE,TJM1,FERNS,,
NATIVE,Pteridaceae,Pellaea,breweri,D.C. Eaton,,,,Pellaea breweri,Pellaea breweri D.C. Eaton,,BREWERS CLIFF-BRAKE,TJM1,FERNS,,
NATIVE,Pteridaceae,Pellaea,bridgesii,Hook.,,,,Pellaea bridgesii,Pellaea bridgesii Hook.,,BRIDGES CLIFF-BRAKE,TJM1,FERNS,,
NATIVE,Pteridaceae,Pellaea,mucronata,,var.,(Lemmon) Munz & I.M. Johnst.,(Lemmon) Munz & I.M. Johnst.,Pellaea mucronata var. californica,Pellaea mucronata (D.C. Eaton) D.C. Eaton var. californica (Lemmon) Munz & I.M. Johnst.,Pellaea wrightiana Hook. var. californica Lemmon,NULL,TJM1,FERNS,1,
NATIVE,Pteridaceae,Pellaea,mucronata,(D.C. Eaton) D.C. Eaton,var.,,,Pellaea mucronata var. mucronata,Pellaea mucronata (D.C. Eaton) D.C. Eaton var. mucronata,,NULL,TJM1,FERNS,,
NATIVE,Pteridaceae,Pellaea,truncata,Goodd.,,,,Pellaea truncata,Pellaea truncata Goodd.,,SPINY CLIFF-BRAKE,TJM1,FERNS,,
NATIVE,Pteridaceae,Pentagramma,glanduloviscida,Schuettp. & Windham,,,,Pentagramma glanduloviscida,Pentagramma glanduloviscida Schuettp. & Windham,,SAN DIEGO SILVERBACK FERN,TJM2,FERNS,,
NATIVE,Pteridaceae,Pentagramma,maxonii,"(Weath.) Yatsk., Windham, & E. Wollenw.",,,,Pentagramma maxonii,"Pentagramma maxonii (Weath.) Yatsk., Windham, & E. Wollenw.","Pentagramma triangularis (Kaulf.) Yatsk. subsp. maxonii (Weath.) Yatsk., Windham, & E. Wollenw.; Pityrogramma triangularis (Kaulf.) Maxon var. maxonii Weath.",DESERT SILVERBACK FERN,TJM2,FERNS,,
NATIVE,Pteridaceae,Pentagramma,pallida,"(Weath.) Yatsk., Windham, & E. Wollenw.",,,,Pentagramma pallida,"Pentagramma pallida (Weath.) Yatsk., Windham, & E. Wollenw.",Pityrogramma triangularis (Kaulf.) Maxon var. pallida Weath.,FROSTY SILVERBACK FERN,TJM1,FERNS,1,
NATIVE,Pteridaceae,Pentagramma,rebmanii,(Winner & M.G. Simpson) Schuettp. & Windham,,,,Pentagramma rebmanii,Pentagramma rebmanii (Winner & M.G. Simpson) Schuettp. & Windham,Pentagramma triangularis subsp. rebmanii Winner & M.G. Simpson,REBMANS SILVERBACK FERN,TJM2,FERNS,,
NATIVE,Pteridaceae,Pentagramma,triangularis,"(Kaulf.) Yatsk., Windham & E. Wollenw.",,,,Pentagramma triangularis,"Pentagramma triangularis (Kaulf.) Yatsk., Windham & E. Wollenw.","Pentagramma triangularis subsp. semipallida (J.T. Howell) Yatsk., Windham & E. Wollenw.; Pityrogramma triangularis (Kaulf.) Maxon var. triangularis",GOLDBACK FERN,TJM1,FERNS,,
NATIVE,Pteridaceae,Pentagramma,viscosa,(Nutt. ex D.C. Eaton) Schuettp. & Windham,,,,Pentagramma viscosa,Pentagramma viscosa (Nutt. ex D.C. Eaton) Schuettp. & Windham,"Pentagramma triangularis subsp. viscosa (D.C. Eaton) Yatsk., Windham, & E. Wollenw.; Pityrogramma triangularis (Kaulf.) Maxon var. viscosa (D.C. Eaton) Weath.",COASTAL SILVERBACK FERN,TJM2,FERNS,,
NATURALIZED,Pteridaceae,Pteris,cretica,L.,,,,Pteris cretica,Pteris cretica L.,,CRETAN BRAKE,TJM1,FERNS,,
WAIF,Pteridaceae,Pteris,tremula,R. Br.,,,,Pteris tremula,Pteris tremula R. Br.,,NULL,TJM1,FERNS,,
NATURALIZED,Pteridaceae,Pteris,vittata,L.,,,,Pteris vittata,Pteris vittata L.,,LADDER BRAKE,TJM1,FERNS,,
NATURALIZED,Salviniaceae,Salvinia,minima,Baker,,,,Salvinia minima,Salvinia minima Baker,,NULL,TJM2,FERNS,,
NATURALIZED,Salviniaceae,Salvinia,molesta,D.S. Mitch.,,,,Salvinia molesta,Salvinia molesta D.S. Mitch.,,NULL,TJM2,FERNS,,
WAIF,Salviniaceae,Salvinia,oblongifolia,Mart.,,,,Salvinia oblongifolia,Salvinia oblongifolia Mart.,,NULL,TJM2,FERNS,,
NATIVE,Thelypteridaceae,Amauropelta,nevadensis,(Baker) S.E. Fawc. & A.R. Sm.,,,,Amauropelta nevadensis,Amauropelta nevadensis (Baker) S.E. Fawc. & A.R. Sm.,Lastrea oregana (C. Chr.) Copel.; Parathelypteris nevadensis (Baker) Holttum; Thelypteris nevadensis (Baker) C.V. Morton,NEVADA MARSH FERN,TJM2,FERNS,,
